               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024306,            0.012688,          0.00095584,             0.94591,             0.99705,             0.97269,             0.78769,            0.016307,           0.0039583,          0.00058085,            0.004225,            0.004225,            0.004225
                  37,            0.023585,            0.012536,          0.00096958,             0.95037,                   1,             0.96962,             0.80336,            0.017137,           0.0037983,          0.00054035,             0.00406,             0.00406,             0.00406
                  38,            0.023628,            0.012581,          0.00059781,             0.94708,                   1,             0.97269,             0.80593,            0.018661,           0.0038127,           0.0004134,            0.003895,            0.003895,            0.003895
                  39,            0.022751,            0.012667,          0.00094816,             0.95179,                   1,             0.97269,             0.81384,            0.017204,           0.0038716,          0.00037186,             0.00373,             0.00373,             0.00373
                  40,            0.022192,            0.012197,          0.00099809,             0.95514,                   1,             0.97923,             0.76618,            0.017705,           0.0038428,          0.00032252,            0.003565,            0.003565,            0.003565
                  41,            0.021119,            0.011926,          0.00047185,             0.95853,                   1,             0.97269,             0.79721,            0.017084,           0.0039764,           0.0002968,              0.0034,              0.0034,              0.0034
                  42,            0.021819,            0.011855,           0.0006033,             0.95849,                   1,             0.96615,             0.80003,            0.016354,           0.0037123,          0.00032381,            0.003235,            0.003235,            0.003235
                  43,            0.022245,            0.012518,           0.0010249,             0.94304,                   1,             0.96615,             0.78699,             0.01652,           0.0037558,          0.00035774,             0.00307,             0.00307,             0.00307
                  44,            0.021631,             0.01223,          0.00052927,             0.95327,                   1,             0.96962,             0.79489,            0.017309,           0.0038079,          0.00027285,            0.002905,            0.002905,            0.002905
                  45,            0.020742,            0.012376,          0.00063198,             0.95809,                   1,             0.98538,             0.80489,            0.018207,           0.0037991,          0.00027578,             0.00274,             0.00274,             0.00274
                  46,            0.020228,            0.011527,          0.00047573,             0.95743,             0.99688,             0.98885,             0.79578,            0.018571,           0.0039073,          0.00027925,            0.002575,            0.002575,            0.002575
                  47,            0.020107,            0.011498,           0.0010487,             0.94977,             0.99722,             0.98885,             0.81349,            0.017345,           0.0039477,          0.00027982,             0.00241,             0.00241,             0.00241
                  48,            0.019689,            0.011049,          0.00043509,             0.95619,             0.99696,             0.98538,             0.80141,            0.017236,            0.004044,          0.00027945,            0.002245,            0.002245,            0.002245
                  49,            0.019698,             0.01178,          0.00051448,             0.95646,                   1,             0.97577,             0.78811,            0.016807,           0.0038575,          0.00026074,             0.00208,             0.00208,             0.00208
                  50,            0.018886,            0.011763,          0.00054392,             0.95759,                   1,             0.97577,             0.79566,            0.016217,           0.0039126,          0.00028642,            0.001915,            0.001915,            0.001915
                  51,            0.018667,            0.010812,          0.00041506,             0.95862,             0.99905,             0.96962,             0.82414,            0.015772,           0.0038434,          0.00028322,             0.00175,             0.00175,             0.00175
                  52,             0.01871,            0.011554,          0.00037972,              0.9471,              0.9983,             0.96962,              0.7948,             0.01679,           0.0038846,          0.00023861,            0.001585,            0.001585,            0.001585
                  53,            0.018462,            0.010674,          0.00032101,             0.95055,             0.99956,             0.96962,             0.78891,            0.016606,           0.0038604,          0.00020845,             0.00142,             0.00142,             0.00142
                  54,            0.018965,            0.010966,           0.0006716,             0.95634,                   1,             0.97577,             0.79343,            0.016676,           0.0038909,          0.00019174,            0.001255,            0.001255,            0.001255
                  55,            0.018281,            0.011093,           0.0005178,             0.95416,                   1,             0.97577,             0.79733,            0.016546,           0.0039373,          0.00017654,             0.00109,             0.00109,             0.00109
                  56,            0.017638,            0.011082,          0.00033339,              0.9569,                   1,             0.97577,             0.79526,            0.016499,           0.0039137,            0.000167,            0.000925,            0.000925,            0.000925
                  57,            0.018281,            0.010787,          0.00026627,             0.95317,                   1,             0.96962,             0.78652,            0.016043,           0.0039001,          0.00015662,             0.00076,             0.00076,             0.00076
                  58,             0.01745,            0.010178,          0.00050124,             0.95586,                   1,             0.96962,             0.78924,            0.016205,           0.0038507,          0.00015904,            0.000595,            0.000595,            0.000595
                  59,            0.017178,            0.010294,          0.00083546,             0.95481,                   1,             0.96962,             0.78712,            0.016109,           0.0038419,          0.00016067,             0.00043,             0.00043,             0.00043
