               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10875,            0.033082,            0.030055,            0.014027,             0.50833,            0.043101,            0.012569,            0.063317,            0.021946,            0.020044,              0.0023,              0.0023,              0.0793
                   1,            0.071823,            0.031978,            0.018033,             0.59835,             0.26667,             0.11819,            0.033794,            0.055254,            0.014763,            0.016191,           0.0046535,           0.0046535,            0.057653
                   2,            0.071774,            0.027447,            0.012069,             0.46757,             0.38333,               0.358,             0.17407,            0.043733,            0.011195,            0.015388,           0.0069594,           0.0069594,            0.035959
                   3,            0.066525,            0.025261,           0.0088079,              0.2591,             0.28333,             0.17865,            0.057297,             0.05904,           0.0087019,            0.014901,           0.0092178,           0.0092178,            0.014218
                   4,             0.06427,            0.024503,           0.0077825,             0.37811,               0.525,             0.32755,              0.1007,            0.047537,            0.016412,           0.0061313,            0.009604,            0.009604,            0.009604
                   5,            0.056633,            0.022958,           0.0062568,             0.29177,               0.761,             0.36532,             0.16193,            0.047421,            0.019264,            0.012832,            0.009604,            0.009604,            0.009604
                   6,             0.05103,            0.021834,           0.0049898,             0.60624,                0.75,             0.69333,             0.32462,            0.035661,           0.0098629,           0.0041307,            0.009505,            0.009505,            0.009505
                   7,            0.047175,            0.021564,           0.0045379,             0.64295,              0.4129,             0.52717,             0.28151,            0.045472,            0.010195,           0.0059131,            0.009406,            0.009406,            0.009406
                   8,            0.047838,            0.020495,           0.0038449,             0.52958,             0.50352,             0.46975,             0.29337,            0.040082,           0.0088818,           0.0066068,            0.009307,            0.009307,            0.009307
                   9,            0.040697,            0.019435,           0.0035529,             0.57434,             0.73877,             0.75933,             0.45716,            0.029832,           0.0091453,            0.001775,            0.009208,            0.009208,            0.009208
                  10,            0.039717,            0.017609,           0.0037008,             0.84468,               0.822,             0.87295,             0.50482,            0.025837,           0.0067846,          0.00086294,            0.009109,            0.009109,            0.009109
                  11,            0.043882,            0.018845,           0.0025967,             0.87634,             0.88333,             0.94457,             0.63006,             0.02377,           0.0054135,           0.0017851,             0.00901,             0.00901,             0.00901
                  12,            0.036315,            0.016943,           0.0034908,             0.91598,             0.98919,              0.9822,             0.67374,            0.025861,           0.0048038,          0.00080223,            0.008911,            0.008911,            0.008911
                  13,            0.036098,            0.016494,           0.0026164,             0.91571,                   1,             0.97714,             0.68654,            0.024707,           0.0049705,          0.00076297,            0.008812,            0.008812,            0.008812
                  14,             0.03672,            0.017117,            0.002471,             0.96133,             0.96724,             0.98231,             0.74669,            0.024786,           0.0050304,           0.0011215,            0.008713,            0.008713,            0.008713
                  15,            0.036093,            0.016953,           0.0021148,             0.86066,             0.96492,             0.96408,               0.703,            0.024906,           0.0048619,          0.00087643,            0.008614,            0.008614,            0.008614
                  16,            0.033936,            0.017642,           0.0027088,             0.90883,             0.99055,             0.96962,             0.68451,            0.023071,           0.0049065,           0.0011201,            0.008515,            0.008515,            0.008515
                  17,            0.032192,            0.016312,           0.0019227,             0.91576,             0.95107,             0.95235,             0.71433,            0.020964,            0.004888,           0.0010002,            0.008416,            0.008416,            0.008416
                  18,            0.032163,            0.015756,           0.0014388,             0.94795,             0.95217,              0.9489,             0.65814,            0.023781,           0.0045603,           0.0010188,            0.008317,            0.008317,            0.008317
                  19,            0.032466,            0.015383,           0.0016635,             0.91669,             0.96667,             0.95135,              0.7287,            0.021041,           0.0045794,          0.00097934,            0.008218,            0.008218,            0.008218
                  20,            0.031072,            0.015156,           0.0021459,             0.95272,             0.91849,             0.95172,             0.73169,            0.018982,           0.0045369,          0.00081649,            0.008119,            0.008119,            0.008119
                  21,            0.029494,            0.015172,            0.002354,             0.94194,             0.95237,             0.97887,              0.7855,             0.01928,           0.0040029,          0.00075398,             0.00802,             0.00802,             0.00802
                  22,            0.029446,            0.013807,           0.0014764,             0.97814,               0.925,             0.98741,             0.69397,            0.022583,           0.0044533,          0.00064972,            0.007921,            0.007921,            0.007921
                  23,            0.031452,            0.014479,            0.001696,             0.95034,             0.97967,             0.98538,             0.74996,            0.021554,           0.0040913,          0.00093864,            0.007822,            0.007822,            0.007822
                  24,            0.029587,            0.014066,           0.0016065,             0.94357,             0.96502,             0.98038,              0.7597,            0.019874,           0.0046172,           0.0007659,            0.007723,            0.007723,            0.007723
                  25,            0.029408,            0.014306,           0.0016803,             0.92743,             0.98899,             0.98885,             0.73088,            0.020407,           0.0043084,           0.0005752,            0.007624,            0.007624,            0.007624
                  26,            0.031429,             0.01548,            0.001213,              0.9027,             0.99264,             0.97269,             0.76338,             0.01815,           0.0042968,          0.00061287,            0.007525,            0.007525,            0.007525
                  27,            0.027512,            0.013911,           0.0013722,             0.94921,                   1,             0.97577,             0.73607,            0.020317,           0.0042084,          0.00056402,            0.007426,            0.007426,            0.007426
                  28,            0.029216,            0.013934,           0.0018492,             0.94775,                   1,             0.97923,             0.67966,            0.022688,           0.0041626,          0.00084681,            0.007327,            0.007327,            0.007327
                  29,            0.028945,            0.014736,           0.0012867,             0.92306,             0.99473,             0.97923,             0.70438,            0.021924,           0.0039978,          0.00039347,            0.007228,            0.007228,            0.007228
                  30,            0.027904,            0.013936,           0.0011648,             0.94886,                   1,             0.98538,             0.77166,            0.019696,           0.0040615,          0.00045229,            0.007129,            0.007129,            0.007129
                  31,            0.026105,            0.013734,           0.0010055,              0.9498,                   1,             0.97923,             0.74522,            0.021107,           0.0039565,          0.00055742,             0.00703,             0.00703,             0.00703
                  32,            0.026335,            0.012712,           0.0012433,             0.95472,             0.98344,             0.97269,             0.71056,            0.021079,           0.0040743,          0.00066792,            0.006931,            0.006931,            0.006931
                  33,            0.025618,            0.013557,           0.0016921,             0.93851,                   1,             0.98538,             0.77463,            0.018814,           0.0039657,           0.0005816,            0.006832,            0.006832,            0.006832
                  34,            0.027792,            0.013948,           0.0012902,             0.93541,             0.99804,             0.98885,             0.77659,            0.019914,           0.0042709,          0.00053533,            0.006733,            0.006733,            0.006733
                  35,            0.025915,             0.01327,           0.0013416,             0.95713,                   1,             0.97269,             0.79223,             0.01915,           0.0038028,          0.00064595,            0.006634,            0.006634,            0.006634
                  36,            0.026898,            0.013561,           0.0011151,             0.94108,             0.99555,             0.98231,             0.79611,            0.018359,           0.0038883,          0.00049446,            0.006535,            0.006535,            0.006535
                  37,            0.024303,             0.01312,           0.0014667,             0.92068,             0.99449,             0.96137,             0.79559,            0.017339,           0.0040881,          0.00044274,            0.006436,            0.006436,            0.006436
                  38,            0.025485,            0.013455,          0.00095143,             0.92429,                   1,             0.95804,              0.7485,            0.017493,           0.0040377,          0.00041822,            0.006337,            0.006337,            0.006337
                  39,            0.023874,            0.013039,          0.00099073,             0.93166,             0.98987,             0.97269,             0.78467,            0.017061,           0.0044378,          0.00056548,            0.006238,            0.006238,            0.006238
                  40,            0.024248,            0.012744,           0.0012917,             0.95223,                   1,             0.97269,             0.77005,            0.018189,           0.0039388,          0.00037011,            0.006139,            0.006139,            0.006139
                  41,            0.023883,             0.01279,          0.00070568,             0.94266,                   1,                0.96,              0.7695,            0.015307,           0.0038304,           0.0003734,             0.00604,             0.00604,             0.00604
                  42,            0.023858,            0.012368,          0.00083285,             0.95148,                   1,             0.96308,             0.78453,            0.016266,           0.0036715,          0.00048407,            0.005941,            0.005941,            0.005941
                  43,             0.02398,            0.013001,           0.0011519,              0.9612,             0.99236,             0.97577,             0.79061,            0.017553,           0.0040277,           0.0004552,            0.005842,            0.005842,            0.005842
                  44,            0.025336,            0.012937,          0.00072882,             0.95927,             0.99987,             0.97923,             0.77259,            0.017549,           0.0038266,          0.00035834,            0.005743,            0.005743,            0.005743
                  45,             0.02339,            0.013147,          0.00078506,             0.94238,             0.99638,             0.98885,             0.79884,            0.017527,            0.003914,          0.00038715,            0.005644,            0.005644,            0.005644
                  46,            0.023106,            0.012392,          0.00068582,             0.95657,             0.98375,             0.98885,             0.77658,            0.018347,            0.003701,           0.0003909,            0.005545,            0.005545,            0.005545
                  47,             0.02299,            0.012179,           0.0010897,             0.91992,                   1,             0.97179,             0.77938,            0.016074,           0.0035433,          0.00038391,            0.005446,            0.005446,            0.005446
                  48,            0.021665,            0.011598,          0.00056046,             0.95617,                   1,             0.96962,             0.78304,            0.017415,           0.0034442,          0.00035822,            0.005347,            0.005347,            0.005347
                  49,            0.022607,            0.012265,          0.00069276,             0.93911,             0.99683,             0.96615,             0.78527,            0.015257,           0.0036498,          0.00035965,            0.005248,            0.005248,            0.005248
                  50,            0.022989,            0.012656,          0.00086748,             0.95456,                   1,             0.96615,             0.73957,            0.017153,           0.0035714,          0.00033596,            0.005149,            0.005149,            0.005149
                  51,            0.022205,            0.011697,           0.0011085,             0.95524,             0.99778,             0.97269,              0.7924,            0.016546,           0.0036057,          0.00036608,             0.00505,             0.00505,             0.00505
                  52,            0.021271,            0.012625,          0.00064541,             0.95499,             0.95833,             0.96845,             0.77586,            0.018595,           0.0037748,          0.00039281,            0.004951,            0.004951,            0.004951
                  53,            0.021573,            0.011524,          0.00059029,             0.94852,                   1,             0.97269,             0.79432,            0.016981,           0.0035113,          0.00029428,            0.004852,            0.004852,            0.004852
                  54,            0.021224,            0.011346,          0.00078119,             0.95352,                   1,             0.96615,             0.77084,            0.017978,           0.0035842,          0.00025902,            0.004753,            0.004753,            0.004753
                  55,            0.021606,            0.011903,          0.00063079,             0.92445,                   1,             0.96962,             0.78985,            0.015929,           0.0037225,          0.00025097,            0.004654,            0.004654,            0.004654
                  56,             0.02018,            0.011666,           0.0005561,             0.91933,                   1,             0.97923,             0.77021,            0.018427,           0.0038711,          0.00025287,            0.004555,            0.004555,            0.004555
                  57,             0.02164,            0.011283,           0.0005875,             0.95089,             0.99058,             0.98231,             0.81017,            0.017911,           0.0035284,          0.00027476,            0.004456,            0.004456,            0.004456
                  58,            0.020772,            0.010983,          0.00080819,             0.95476,                   1,             0.96308,             0.78443,            0.016556,           0.0032484,          0.00028655,            0.004357,            0.004357,            0.004357
                  59,            0.020693,            0.010734,            0.000713,             0.95281,                   1,             0.96615,             0.79039,             0.01728,           0.0035115,          0.00029352,            0.004258,            0.004258,            0.004258
                  60,            0.020219,             0.01158,           0.0011667,             0.94954,                   1,             0.97269,             0.79051,            0.016986,            0.003725,          0.00029358,            0.004159,            0.004159,            0.004159
                  61,            0.019838,            0.010776,          0.00087305,             0.95317,                   1,             0.97923,             0.80154,            0.017609,            0.003454,          0.00028419,             0.00406,             0.00406,             0.00406
                  62,             0.02083,            0.011466,          0.00063405,             0.95463,                   1,             0.97269,             0.77775,            0.017081,           0.0035291,           0.0002792,            0.003961,            0.003961,            0.003961
                  63,            0.020966,            0.011569,           0.0010525,             0.94651,             0.99615,             0.97577,             0.80781,            0.016923,           0.0036774,          0.00028661,            0.003862,            0.003862,            0.003862
                  64,            0.019719,            0.010847,           0.0012495,             0.92069,                   1,             0.96845,             0.78671,            0.016159,           0.0036462,          0.00030694,            0.003763,            0.003763,            0.003763
                  65,            0.020251,            0.011021,          0.00073121,             0.95658,                   1,             0.97923,             0.80561,            0.015046,           0.0035134,          0.00031492,            0.003664,            0.003664,            0.003664
                  66,            0.019125,            0.011292,          0.00047104,             0.94941,              0.9974,             0.96308,             0.81297,            0.015511,           0.0036644,          0.00029403,            0.003565,            0.003565,            0.003565
                  67,            0.019349,            0.010796,          0.00070301,             0.93911,             0.99573,             0.96308,             0.79636,             0.01498,           0.0035703,           0.0002817,            0.003466,            0.003466,            0.003466
                  68,            0.019308,            0.010961,          0.00045022,             0.94629,              0.9984,                0.96,             0.79593,            0.015851,           0.0035973,          0.00023259,            0.003367,            0.003367,            0.003367
                  69,            0.019358,            0.011201,          0.00046492,             0.96076,             0.99582,             0.96615,             0.78732,            0.016622,           0.0036854,          0.00020088,            0.003268,            0.003268,            0.003268
                  70,            0.018779,             0.01054,          0.00052741,             0.94451,             0.99751,             0.96615,              0.7965,            0.015477,           0.0035137,            0.000192,            0.003169,            0.003169,            0.003169
                  71,             0.01899,            0.010448,          0.00063977,             0.95271,                   1,             0.96962,             0.81405,            0.016114,           0.0033657,          0.00016744,             0.00307,             0.00307,             0.00307
                  72,            0.019213,            0.010111,           0.0005082,             0.95582,                   1,             0.97577,             0.81172,             0.01535,           0.0031559,          0.00016196,            0.002971,            0.002971,            0.002971
                  73,            0.018446,           0.0098892,          0.00047067,             0.94643,             0.99596,             0.99192,             0.84229,            0.016571,           0.0031465,          0.00017445,            0.002872,            0.002872,            0.002872
                  74,               0.018,            0.011329,          0.00061099,             0.92117,                   1,             0.98595,             0.83224,            0.016219,           0.0034363,          0.00017817,            0.002773,            0.002773,            0.002773
                  75,             0.01696,             0.01006,          0.00089348,             0.91651,             0.99859,             0.97554,             0.81606,            0.015785,           0.0034329,          0.00018368,            0.002674,            0.002674,            0.002674
                  76,            0.017938,             0.01023,           0.0004616,             0.92417,                   1,             0.97577,             0.79618,            0.015737,           0.0033751,          0.00017208,            0.002575,            0.002575,            0.002575
                  77,            0.018005,            0.011061,          0.00041024,             0.94892,             0.99984,             0.97577,             0.81486,            0.014888,           0.0032496,          0.00015249,            0.002476,            0.002476,            0.002476
                  78,            0.017315,            0.010373,          0.00030043,             0.94868,             0.99855,             0.98231,             0.82391,            0.016465,           0.0031866,          0.00013882,            0.002377,            0.002377,            0.002377
                  79,            0.017012,           0.0099227,          0.00027829,             0.94834,             0.99754,             0.97577,             0.81408,            0.014269,           0.0031388,          0.00013442,            0.002278,            0.002278,            0.002278
                  80,            0.017459,            0.010345,          0.00023405,             0.94698,              0.9922,             0.97577,              0.8222,            0.013616,           0.0032856,          0.00012919,            0.002179,            0.002179,            0.002179
                  81,            0.017648,            0.010197,           0.0005593,             0.94963,              0.9873,             0.97577,             0.81907,            0.014759,           0.0034169,          0.00012682,             0.00208,             0.00208,             0.00208
                  82,            0.016327,           0.0097935,          0.00056496,             0.94772,             0.98402,             0.98538,             0.83475,            0.014499,           0.0032957,          0.00012885,            0.001981,            0.001981,            0.001981
                  83,             0.01631,             0.01035,           0.0003007,             0.94395,             0.99511,             0.98885,             0.83934,            0.014868,           0.0033465,           0.0001359,            0.001882,            0.001882,            0.001882
                  84,            0.016816,            0.010665,          0.00060188,             0.92314,                   1,             0.99192,             0.83142,            0.014648,           0.0034485,          0.00013333,            0.001783,            0.001783,            0.001783
                  85,            0.015739,            0.010308,          0.00028031,             0.92256,                   1,             0.98538,             0.83764,            0.014123,           0.0034504,          0.00013042,            0.001684,            0.001684,            0.001684
                  86,            0.015978,           0.0095483,           0.0002902,             0.94244,              0.9854,             0.97577,             0.82913,            0.014511,           0.0034238,           0.0001248,            0.001585,            0.001585,            0.001585
                  87,            0.016139,           0.0089866,          0.00025516,             0.95372,             0.99218,             0.97923,             0.81913,            0.014705,           0.0033646,          0.00011924,            0.001486,            0.001486,            0.001486
                  88,            0.016136,           0.0093132,          0.00047401,              0.9537,              0.9981,             0.97577,             0.81966,            0.014746,            0.003262,          0.00011095,            0.001387,            0.001387,            0.001387
